Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AGE	Peptides FPS	Razor + unique peptides AGE	Razor + unique peptides FPS	Unique peptides AGE	Unique peptides FPS	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Identification type AGE	Identification type FPS	Reporter intensity corrected 1 AGE	Reporter intensity corrected 2 AGE	Reporter intensity corrected 3 AGE	Reporter intensity corrected 4 AGE	Reporter intensity corrected 5 AGE	Reporter intensity corrected 6 AGE	Reporter intensity corrected 7 AGE	Reporter intensity corrected 8 AGE	Reporter intensity corrected 9 AGE	Reporter intensity corrected 10 AGE	Reporter intensity corrected 11 AGE	Reporter intensity corrected 1 FPS	Reporter intensity corrected 2 FPS	Reporter intensity corrected 3 FPS	Reporter intensity corrected 4 FPS	Reporter intensity corrected 5 FPS	Reporter intensity corrected 6 FPS	Reporter intensity corrected 7 FPS	Reporter intensity corrected 8 FPS	Reporter intensity corrected 9 FPS	Reporter intensity corrected 10 FPS	Reporter intensity corrected 11 FPS	Reporter intensity 1 AGE	Reporter intensity 2 AGE	Reporter intensity 3 AGE	Reporter intensity 4 AGE	Reporter intensity 5 AGE	Reporter intensity 6 AGE	Reporter intensity 7 AGE	Reporter intensity 8 AGE	Reporter intensity 9 AGE	Reporter intensity 10 AGE	Reporter intensity 11 AGE	Reporter intensity 1 FPS	Reporter intensity 2 FPS	Reporter intensity 3 FPS	Reporter intensity 4 FPS	Reporter intensity 5 FPS	Reporter intensity 6 FPS	Reporter intensity 7 FPS	Reporter intensity 8 FPS	Reporter intensity 9 FPS	Reporter intensity 10 FPS	Reporter intensity 11 FPS	Reporter intensity count 1 AGE	Reporter intensity count 2 AGE	Reporter intensity count 3 AGE	Reporter intensity count 4 AGE	Reporter intensity count 5 AGE	Reporter intensity count 6 AGE	Reporter intensity count 7 AGE	Reporter intensity count 8 AGE	Reporter intensity count 9 AGE	Reporter intensity count 10 AGE	Reporter intensity count 11 AGE	Reporter intensity count 1 FPS	Reporter intensity count 2 FPS	Reporter intensity count 3 FPS	Reporter intensity count 4 FPS	Reporter intensity count 5 FPS	Reporter intensity count 6 FPS	Reporter intensity count 7 FPS	Reporter intensity count 8 FPS	Reporter intensity count 9 FPS	Reporter intensity count 10 FPS	Reporter intensity count 11 FPS	Sequence coverage AGE [%]	Sequence coverage FPS [%]	Intensity	Intensity AGE	Intensity FPS	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
Q04462	Q04462	19	19	19	Valine--tRNA ligase	Vars	sp|Q04462|SYVC_RAT Valine--tRNA ligase OS=Rattus norvegicus OX=10116 GN=Vars1 PE=2 SV=2	1	19	19	19	19	18	19	18	19	18	21.6	21.6	21.6	140.37	1264	1264	4.79	10	10	18	13	13	19	17	14	0	323.31	By MS/MS	By MS/MS	22622000	32094000	700240	321870	31830000	25050000	30703000	32776000	30217000	32018000	32806000	29073000	31229000	731510	32440000	207720	28851000	29848000	29890000	30845000	44803000	33982000	21068000	29826000	2654800	2501800	30534000	24138000	31187000	32912000	30854000	31301000	31567000	27075000	29145000	2669100	32955000	891250	29636000	28757000	30784000	31447000	43143000	32684000	5	5	4	3	5	5	5	5	5	5	5	7	7	6	7	6	7	7	7	7	7	7	21.6	20.1	51782000000	25466000000	26316000000	131				1074	179;3857;3946;4397;5528;5886;6076;7127;9134;9514;9941;10862;11577;11583;12239;12978;13656;13716;14403	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	182;3978;4070;4530;5699;6071;6271;7344;9472;9863;10294;11252;11978;11984;12662;13420;14127;14187;14889	1023;1024;1025;1026;1027;1028;1029;1030;1031;20449;20450;20451;20452;20453;20454;20968;23289;23290;23291;23292;23293;29494;29495;29496;29497;29498;29499;29500;29501;31533;31534;31535;31536;31537;31538;31539;32610;32611;32612;32613;32614;38047;38048;38049;38050;38051;48375;48376;48377;48378;50066;50067;51950;51951;51952;51953;51954;51955;56264;56265;56266;56267;56268;56269;56270;56271;56272;56273;56274;59878;59879;59880;59881;59882;59883;59897;59898;63654;63655;63656;63657;63658;63659;67930;67931;67932;67933;67934;67935;67936;67937;67938;67939;67940;67941;71923;71924;71925;71926;71927;71928;71929;71930;71931;71932;71933;72225;72226;72227;72228;75593;75594;75595;75596	1128;1129;1130;1131;1132;1133;1134;1135;1136;1137;1138;1139;1140;21765;21766;21767;21768;21769;21770;22310;24716;24717;24718;24719;24720;31199;31200;31201;31202;31203;31204;33333;33334;33335;33336;33337;33338;33339;33340;33341;33342;33343;33344;33345;33346;33347;33348;33349;33350;33351;34442;34443;34444;40073;40074;40075;40076;40077;50674;50675;50676;50677;52467;52468;54417;54418;54419;54420;54421;54422;54423;54424;54425;54426;58876;58877;58878;58879;58880;58881;58882;58883;58884;58885;58886;58887;62688;62689;62690;62691;62692;62705;66741;66742;66743;66744;66745;71340;71341;71342;71343;71344;71345;71346;71347;71348;71349;71350;71351;71352;75587;75588;75589;75590;75591;75592;75593;75594;75595;75596;75597;75598;75918;75919;75920;75921;75922;79452;79453;79454;79455	1140;21768;22310;24718;31199;33338;34444;40077;50676;52468;54419;58886;62691;62705;66741;71350;75589;75922;79455			-1
Q04631	Q04631	2	2	2	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	Fnta	sp|Q04631|FNTA_RAT Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Rattus norvegicus OX=10116 GN=Fnta PE=1 SV=1	1	2	2	2	1	2	1	2	1	2	6.1	6.1	6.1	44.049	377	377	7							3		0.0023105	1.4083	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	6.1	296690000	225940000	70757000	2				1075	666;4938	True;True	690;5091	3677;26179;26180	3988;27654	3988;27654			-1
Q04753	Q04753	1	1	1	Methylosome subunit pICln	Clns1a	sp|Q04753|ICLN_RAT Methylosome subunit pICln OS=Rattus norvegicus OX=10116 GN=Clns1a PE=1 SV=1	1	1	1	1	1	1	1	1	1	1	5.5	5.5	5.5	26.092	236	236	6.5						2	2		0	7.505	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	5891800	5977700	0	0	0	0	0	0	0	0	0	36625000	28961000	0	0	0	0	0	0	0	0	0	5511500	5581400	0	0	0	0	0	0	0	0	0	34261000	27041000	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	2	5.5	5.5	698930000	252720000	446210000	4				1076	4243	True	4371	22462;22463;22464;22465	23865;23866;23867;23868	23865			-1
Q04931	Q04931	10	10	10	FACT complex subunit SSRP1	Ssrp1	sp|Q04931|SSRP1_RAT FACT complex subunit SSRP1 OS=Rattus norvegicus OX=10116 GN=Ssrp1 PE=1 SV=2	1	10	10	10	9	8	9	8	9	8	20	20	20	80.914	709	709	4.91	4	2	7	10	9	7	8	6	0	202.34	By MS/MS	By MS/MS	6518300	3974200	115530	24172	3167400	4764000	5621300	4377100	6303100	5797500	4358000	0	0	0	0	0	0	0	0	0	0	0	6070100	3693600	601160	374540	3105700	4552200	5594700	4512400	6313500	5603700	4264200	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	17.1	17.2	13181000000	8848800000	4332000000	35				1077	249;388;2984;3550;6100;6949;9530;10514;10663;13012	True;True;True;True;True;True;True;True;True;True	256;399;3074;3662;6295;7161;9880;10885;11043;13456	1440;1441;1442;1443;1444;1445;1446;2139;2140;2141;2142;2143;2144;2145;2146;2147;2148;2149;15614;15615;15616;15617;18873;18874;18875;18876;18877;18878;18879;18880;18881;18882;32731;37084;37085;50144;54467;54468;54469;54470;55310;55311;55312;55313;68115;68116;68117;68118;68119;68120;68121;68122;68123	1584;1585;1586;1587;1588;1589;1590;2359;2360;2361;2362;16605;16606;16607;20078;20079;20080;20081;20082;20083;34568;39103;52548;57040;57041;57907;57908;71540;71541;71542;71543;71544;71545;71546;71547	1586;2359;16607;20081;34568;39103;52548;57040;57908;71541			-1
Q05030	Q05030	9	9	9	Platelet-derived growth factor receptor beta	Pdgfrb	sp|Q05030|PGFRB_RAT Platelet-derived growth factor receptor beta OS=Rattus norvegicus OX=10116 GN=Pdgfrb PE=2 SV=2	1	9	9	9	9	9	9	9	9	9	10	10	10	122.83	1097	1097	5.25			1	10	6	6	2	3	0	86.11	By MS/MS	By MS/MS	18376000	22034000	280030	157400	21423000	18441000	22906000	24193000	19101000	21302000	21925000	20704000	20426000	426670	21190000	141680	18050000	19294000	20543000	19503000	23938000	18524000	17112000	20478000	1821600	1926600	20595000	17784000	23039000	24221000	19698000	20924000	21063000	19281000	19063000	1822100	21517000	635000	18638000	18576000	20862000	19797000	23239000	17900000	6	6	5	3	6	6	6	6	6	6	6	6	6	5	6	5	6	6	6	6	6	6	10	10	6569700000	3540300000	3029400000	21				1078	5244;7304;7516;7914;9003;12201;13442;13826;14401	True;True;True;True;True;True;True;True;True	5404;7526;7744;8153;9338;12624;13899;14299;14887	27919;27920;27921;27922;27923;27924;38861;38862;39961;39962;41794;41795;41796;41797;41798;47745;47746;47747;47748;63496;63497;70651;70652;72675;72676;72677;75589;75590	29544;29545;29546;29547;40926;40927;42045;43914;43915;43916;50040;50041;50042;50043;66578;66579;74232;76393;76394;76395;79449	29545;40926;42045;43915;50042;66579;74232;76394;79449			-1
Q05096;Q05096-3;Q05096-2	Q05096;Q05096-3;Q05096-2	12;12;12	12;12;12	12;12;12	Unconventional myosin-Ib	Myo1b	sp|Q05096|MYO1B_RAT Unconventional myosin-Ib OS=Rattus norvegicus OX=10116 GN=Myo1b PE=1 SV=1;sp|Q05096-3|MYO1B_RAT Isoform C of Unconventional myosin-Ib OS=Rattus norvegicus OX=10116 GN=Myo1b;sp|Q05096-2|MYO1B_RAT Isoform B of Unconventional myosin-Ib OS=	3	12	12	12	12	10	12	10	12	10	14.8	14.8	14.8	131.92	1136	1136;1077;1106	5.4	4	2	1	4	2	2	7	8	0	87.577	By MS/MS	By MS/MS	0	0	0	0	0	0	0	5650700	8168400	7463600	6759300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5514400	7902500	7214700	6564100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	14.8	12.3	4792300000	3325500000	1466800000	28				1079	781;2443;2732;3253;3725;5557;6820;7452;8485;10655;12196;13551	True;True;True;True;True;True;True;True;True;True;True;True	806;2520;2818;3353;3840;5728;7031;7680;8802;11035;12619;14014	4278;4279;4280;12878;14373;14374;14375;17137;19784;19785;19786;29667;29668;29669;36465;36466;39584;39585;39586;44818;44819;44820;44821;55272;55273;55274;63470;63471;71285;71286	4606;4607;4608;13732;15334;15335;18189;21059;21060;21061;21062;21063;31391;31392;38513;41657;41658;41659;47018;47019;47020;57874;57875;66554;66555;66556;74892;74893	4606;13732;15334;18189;21061;31391;38513;41657;47018;57874;66554;74892			-1;-1;-1
Q05175	Q05175	5	5	5	Brain acid soluble protein 1	Basp1	sp|Q05175|BASP1_RAT Brain acid soluble protein 1 OS=Rattus norvegicus OX=10116 GN=Basp1 PE=1 SV=2	1	5	5	5	5	5	5	5	5	5	44.1	44.1	44.1	21.79	220	220	2.11	17	13	8	7					0	322.01	By MS/MS	By MS/MS	3561200	3925100	27021	72585	4075100	3437900	4038200	4689800	4094200	11614000	11459000	0	0	0	0	0	0	0	0	0	0	0	3316000	3648100	327630	396480	3908100	3322800	4099700	4701400	4179800	11057000	10826000	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0	44.1	44.1	49202000000	22109000000	27093000000	61				1080	468;822;823;2770;10582	True;True;True;True;True	482;854;855;2856;10956	2564;2565;2566;2567;2568;2569;2570;4493;4494;4495;4496;4497;4498;4499;4500;4501;4502;4503;4504;4505;4506;4507;4508;4509;4510;4511;4512;4513;14529;14530;14531;14532;14533;14534;14535;14536;54881;54882;54883;54884;54885;54886;54887;54888;54889	2824;2825;2826;2827;2828;2829;2830;2831;4805;4806;4807;4808;4809;4810;4811;4812;4813;4814;4815;4816;4817;4818;4819;4820;4821;4822;4823;4824;4825;4826;4827;4828;15470;15471;15472;15473;15474;15475;15476;15477;15478;15479;15480;15481;57455;57456;57457;57458;57459;57460;57461;57462;57463;57464;57465;57466;57467;57468;57469;57470;57471	2826;4810;4818;15473;57469			-1
Q05962	Q05962	12	6	6	ADP/ATP translocase 1	Slc25a4	sp|Q05962|ADT1_RAT ADP/ATP translocase 1 OS=Rattus norvegicus OX=10116 GN=Slc25a4 PE=1 SV=3	1	12	6	6	12	11	6	5	6	5	45.6	21.8	21.8	32.989	298	298	4.42	4	6	2	3	6	2	3	5	0	57.293	By MS/MS	By MS/MS	14448000	14205000	150400	12088	12633000	13340000	13927000	13058000	14008000	13526000	13440000	12473000	11525000	31445	11795000	115170	15297000	13233000	12896000	14306000	16584000	12668000	13453000	13201000	1312600	1000300	12155000	12747000	14061000	13304000	14227000	13191000	12983000	11613000	10755000	783250	12066000	417770	15313000	12770000	13344000	14449000	16045000	12271000	4	4	4	1	4	4	4	4	4	4	4	5	5	2	5	4	5	5	5	5	5	5	45.6	41.9	22741000000	11298000000	11444000000	32				1081	132;1597;2721;3566;3656;3727;4110;4353;9560;11713;14363;14382	True;True;True;True;False;True;False;False;True;False;False;False	134;1654;2807;3678;3771;3842;4236;4486;9911;12121;14848;14867	728;8536;8537;8538;8539;8540;8541;8542;8543;8544;8545;8546;14328;14329;18989;18990;18991;18992;18993;18994;18995;18996;19401;19402;19403;19792;19793;19794;19795;19796;19797;19798;21710;21711;21712;21713;21714;21715;23036;23037;23038;23039;23040;23041;50252;50253;60621;60622;60623;75430;75431;75510;75511;75512	773;9039;9040;9041;9042;9043;9044;9045;9046;9047;9048;9049;9050;9051;9052;9053;15284;20202;20203;20204;20205;20206;20207;20208;20657;20658;21068;21069;21070;21071;21072;21073;23100;23101;23102;23103;24450;24451;24452;24453;24454;24455;52647;52648;63474;63475;63476;79293;79294;79371	773;9041;15284;20202;20657;21073;23101;24450;52647;63476;79293;79371			-1
Q05982	Q05982	8	2	2	Nucleoside diphosphate kinase A	Nme1	sp|Q05982|NDKA_RAT Nucleoside diphosphate kinase A OS=Rattus norvegicus OX=10116 GN=Nme1 PE=1 SV=1	1	8	2	2	8	7	2	1	2	1	55.9	16.4	16.4	17.193	152	152	4.79			2	3	5	4			0	4.5563	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.9	46.1	8382300000	4569400000	3812900000	13				1082	2482;3187;3686;4315;8553;11932;13557;13558	True;True;False;False;False;False;False;False	2559;3283;3801;4443;8871;12348;14022;14023;14024;14025	13044;16761;16762;16763;16764;16765;16766;16767;16768;16769;16770;16771;16772;16773;19559;19560;19561;19562;19563;19564;19565;19566;19567;22795;22796;22797;22798;22799;22800;22801;22802;22803;22804;22805;22806;22807;22808;22809;22810;45176;45177;45178;45179;45180;45181;45182;45183;45184;45185;45186;45187;45188;45189;45190;45191;45192;45193;45194;45195;61784;61785;61786;61787;61788;61789;61790;61791;61792;61793;61794;61795;61796;61797;61798;61799;61800;61801;61802;61803;61804;61805;61806;61807;61808;61809;61810;61811;61812;61813;61814;71310;71311;71312;71313;71314;71315;71316;71317;71318;71319;71320;71321;71322;71323;71324;71325;71326;71327;71328;71329;71330;71331;71332;71333;71334;71335;71336;71337;71338;71339;71340;71341;71342;71343;71344	13906;17813;17814;17815;17816;17817;17818;17819;17820;17821;17822;17823;17824;20825;20826;20827;20828;20829;20830;20831;20832;20833;20834;20835;20836;24185;24186;24187;24188;24189;24190;24191;24192;24193;24194;24195;24196;24197;24198;24199;24200;24201;24202;47394;47395;47396;47397;47398;47399;47400;47401;47402;47403;47404;47405;47406;47407;47408;47409;47410;47411;47412;47413;64693;64694;64695;64696;64697;64698;64699;64700;64701;64702;64703;64704;64705;64706;64707;64708;64709;64710;64711;64712;64713;64714;64715;64716;64717;64718;64719;64720;64721;64722;64723;64724;64725;64726;64727;64728;64729;64730;64731;64732;64733;64734;64735;74913;74914;74915;74916;74917;74918;74919;74920;74921;74922;74923;74924;74925;74926;74927;74928;74929;74930;74931;74932;74933;74934;74935;74936;74937;74938;74939;74940;74941;74942;74943;74944;74945;74946;74947;74948;74949;74950;74951;74952;74953;74954;74955;74956;74957	13906;17816;20828;24186;47411;64696;74915;74950	176	90	-1
Q06486;Q06486-2	Q06486;Q06486-2	2;2	2;2	2;2	Casein kinase I isoform delta	Csnk1d	sp|Q06486|KC1D_RAT Casein kinase I isoform delta OS=Rattus norvegicus OX=10116 GN=Csnk1d PE=1 SV=2;sp|Q06486-2|KC1D_RAT Isoform 2 of Casein kinase I isoform delta OS=Rattus norvegicus OX=10116 GN=Csnk1d	2	2	2	2	2	2	2	2	2	2	4.6	4.6	4.6	47.316	415	415;428	6.33					2	1	2	1	0	2.1845	By MS/MS	By MS/MS	185710	271430	5518.8	9032	265970	207870	408400	454080	290790	329900	378270	1415600	1465400	92060	1169300	0	400910	447020	581620	496300	553010	416370	172950	252290	21664	30721	258940	205030	403170	445540	304080	327320	362200	1318800	1366300	183290	1202300	8809.2	459870	431410	581380	499910	541280	404130	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	0	2	2	2	2	2	2	4.6	4.6	506670000	360030000	146640000	7				1083	2980;12062	True;True	3069;12483	15594;15595;15596;62686;62687;62688	16589;16590;16591;16592;65691;65692;65693	16589;65691			-1;-1
Q06647	Q06647	4	4	4	ATP synthase subunit O, mitochondrial	Atp5o	sp|Q06647|ATPO_RAT ATP synthase subunit O, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5po PE=1 SV=1	1	4	4	4	4	3	4	3	4	3	23.9	23.9	23.9	23.397	213	213	4.6	1	3	2	5	6	4	4		0	55.423	By MS/MS	By MS/MS	18729000	12650000	106640	0	8663200	12241000	17144000	12242000	14560000	12147000	11364000	3974800	2592900	0	2425200	55325	9173200	5456900	6377800	7905600	4985700	3814500	17439000	11755000	1487600	921800	8524800	11705000	16867000	12444000	14812000	11868000	11062000	3700800	2418900	258790	2586900	187810	8866000	5328500	6583900	7790300	4926700	3806400	2	2	1	0	2	2	2	2	2	2	2	1	1	0	1	1	1	1	1	1	1	1	23.9	18.8	14140000000	8291200000	5849000000	26				1084	3864;4487;12735;14239	True;True;True;True	3985;4624;13173;14722	20473;20474;20475;20476;20477;20478;20479;20480;20481;20482;20483;20484;20485;20486;20487;20488;20489;20490;20491;23697;23698;66297;66298;66299;74875	21790;21791;21792;21793;21794;21795;21796;21797;21798;21799;21800;21801;21802;21803;21804;21805;21806;21807;21808;25127;25128;69543;69544;69545;78722;78723	21804;25128;69544;78723			-1
Q07009	Q07009	21	21	21	Calpain-2 catalytic subunit	Capn2	sp|Q07009|CAN2_RAT Calpain-2 catalytic subunit OS=Rattus norvegicus OX=10116 GN=Capn2 PE=1 SV=3	1	21	21	21	20	21	20	21	20	21	35.7	35.7	35.7	79.918	700	700	4.65	12	9	25	27	18	12	20	17	0	323.31	By MS/MS	By MS/MS	61349000	67629000	1123100	501840	63673000	59634000	70762000	88561000	69340000	80570000	69701000	82398000	77370000	1563000	76546000	544690	86200000	81182000	119340000	100320000	123260000	92038000	57130000	62853000	6103200	5807500	61295000	57519000	71032000	88344000	70616000	79018000	67227000	76730000	72192000	6886200	78292000	2480800	87442000	77962000	119780000	100920000	120220000	89042000	7	7	6	3	7	7	7	9	9	9	9	9	9	7	9	5	9	9	11	11	11	11	33.9	35.7	87904000000	42963000000	44941000000	149				1085	656;3201;3673;4036;4564;5857;6443;6835;6836;6876;6877;7479;7548;8399;8453;8832;10266;10509;10549;14145;14527	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	680;3298;3788;4160;4701;6041;6646;7046;7047;7087;7088;7707;7776;8716;8770;9161;10631;10880;10921;14627;15015	3614;3615;3616;3617;3618;3619;3620;16839;16840;16841;19482;19483;19484;19485;19486;19487;19488;21386;21387;21388;21389;21390;21391;21392;24005;24006;24007;24008;24009;24010;24011;24012;24013;24014;24015;31395;34414;34415;36542;36543;36544;36545;36546;36547;36548;36549;36550;36551;36552;36553;36729;36730;36731;36732;36733;36734;36735;36736;36737;36738;36739;36740;36741;39728;39729;39730;39731;39732;39733;39734;39735;39736;40099;40100;40101;40102;40103;40104;40105;40106;40107;40108;44364;44365;44366;44367;44368;44369;44370;44649;44650;44651;44652;44653;46814;46815;46816;46817;46818;46819;46820;46821;46822;46823;46824;46825;53374;53375;53376;53377;53378;53379;53380;53381;54419;54420;54421;54422;54423;54424;54425;54426;54673;54674;54675;54676;54677;74389;74390;74391;74392;74393;74394;74395;74396;76379;76380;76381;76382;76383	3937;3938;3939;3940;17891;17892;20746;20747;20748;20749;20750;20751;22746;22747;22748;22749;22750;22751;22752;25430;25431;25432;25433;25434;25435;25436;25437;25438;25439;25440;25441;25442;25443;25444;33197;36386;36387;38589;38590;38591;38592;38593;38594;38595;38596;38597;38598;38599;38600;38601;38763;38764;38765;38766;38767;38768;38769;38770;38771;38772;38773;38774;38775;38776;38777;38778;38779;38780;38781;41806;41807;41808;41809;41810;41811;41812;41813;41814;41815;41816;42184;42185;42186;42187;42188;42189;42190;42191;42192;42193;42194;42195;46559;46560;46561;46562;46563;46564;46844;46845;49056;49057;49058;49059;49060;49061;49062;49063;49064;49065;49066;49067;49068;49069;49070;55913;55914;55915;55916;55917;55918;55919;55920;55921;55922;56988;56989;56990;56991;56992;56993;56994;57229;57230;78223;78224;78225;78226;78227;78228;78229;78230;78231;78232;78233;80272;80273;80274;80275	3937;17892;20747;22751;25443;33197;36387;38590;38591;38772;38774;41813;42187;46562;46844;49062;55918;56992;57229;78233;80275			-1
Q07205	Q07205	7	7	7	Eukaryotic translation initiation factor 5	Eif5	sp|Q07205|IF5_RAT Eukaryotic translation initiation factor 5 OS=Rattus norvegicus OX=10116 GN=Eif5 PE=1 SV=1	1	7	7	7	7	7	7	7	7	7	20	20	20	48.954	429	429	4.32	6	5	6	5	6	3	5	5	0	54.473	By MS/MS	By MS/MS	41887000	48053000	637240	337950	46389000	43799000	51371000	52508000	48458000	52859000	50611000	48113000	47558000	318180	44188000	388140	41654000	41368000	42518000	46793000	58405000	43404000	39005000	44659000	4129600	3986900	44644000	42109000	51758000	52958000	49501000	51610000	48756000	44800000	44364000	3591400	45279000	1394400	42610000	39985000	43661000	47246000	56387000	41975000	5	5	5	3	5	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5	5	20	20	18331000000	9333200000	8998100000	40				1086	3500;4305;7603;10529;11562;12726;14375	True;True;True;True;True;True;True	3611;4433;7833;10901;11963;13163;14860	18583;18584;18585;18586;18587;18588;18589;18590;18591;18592;18593;18594;18595;18596;18597;22725;22726;22727;22728;22729;22730;40382;40383;40384;54571;54572;54573;54574;54575;59813;59814;59815;66239;66240;66241;66242;66243;75480;75481;75482;75483	19761;19762;19763;19764;19765;19766;19767;19768;19769;19770;19771;19772;19773;19774;19775;19776;24118;24119;24120;24121;24122;24123;42481;42482;42483;57135;57136;57137;57138;62618;62619;69488;69489;69490;69491;69492;79342;79343;79344;79345	19770;24120;42481;57138;62619;69489;79342			-1
Q07266;Q07266-2	Q07266;Q07266-2	4;4	4;4	4;4	Drebrin	Dbn1	sp|Q07266|DREB_RAT Drebrin OS=Rattus norvegicus OX=10116 GN=Dbn1 PE=1 SV=3;sp|Q07266-2|DREB_RAT Isoform E1 of Drebrin OS=Rattus norvegicus OX=10116 GN=Dbn1	2	4	4	4	3	3	3	3	3	3	10.2	10.2	10.2	77.471	707	707;661	3.5		2	3		3				0	35.432	By MS/MS	By MS/MS	5543800	5815600	125600	90073	5245800	5330900	5890800	6147800	5954800	6155900	5741200	0	0	0	0	0	0	0	0	0	0	0	5162800	5405200	572500	574660	5053700	5125900	5943500	6209700	6047600	6011900	5545000	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	7.6	7.8	1735400000	860800000	874560000	8				1087	6480;7693;11201;12837	True;True;True;True	6683;7925;11598;13278	34560;34561;40766;40767;40768;58035;58036;66964	36551;36552;42883;42884;42885;60771;70297;70298	36552;42885;60771;70298			-1;-1
Q07803	Q07803	6	6	6	Elongation factor G, mitochondrial	Gfm1	sp|Q07803|EFGM_RAT Elongation factor G, mitochondrial OS=Rattus norvegicus OX=10116 GN=Gfm1 PE=1 SV=2	1	6	6	6	5	6	5	6	5	6	10.9	10.9	10.9	83.456	751	751	5.69			2	1	4	1	2	3	0	24.227	By MS/MS	By MS/MS	1937400	5958900	276950	2475.4	6019600	5833100	6370400	6590300	6394900	7624300	7186200	3303900	3216400	44900	3154600	10161	4295600	3886500	3903700	4256200	4806200	3682700	1803900	5537800	470580	451350	5797200	5595900	6444200	6693300	6532700	7403700	6907700	3076600	3001000	269630	3239600	109910	4296900	3751000	4015800	4293500	4656800	3570400	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9.2	10.9	2541700000	1429800000	1111900000	14				1088	4111;7428;9922;13337;14497;14630	True;True;True;True;True;True	4237;7653;10275;13787;14984;15122	21716;21717;39439;39440;51854;70071;70072;70073;76203;76204;76993;76994;76995	23104;23105;41512;41513;54307;54308;73584;73585;73586;80104;80105;80948;80949;80950	23105;41513;54307;73584;80105;80948			-1
